,Df,SumOfSqs,R2,F,Pr(>F),R2percentage,percentageleft,Taxa
sample$Site:sample$Season1,5,3.72606201858246,0.0528785104538812,2.778036945535,9.99900009999e-05,5.3,94.7,Fungi
sample$genotypecluster:sample$Season1,5,1.33411705946964,0.0189331585260906,0.994676541182526,0.478252174782522,1.9,98.1,Fungi
sample$Compartment:sample$Site:sample$genotypecluster1,11,2.18198023152985,0.0309656317870437,0.73946235357459,0.998800119988001,3.1,96.9,Fungi
sample$Compartment:sample$Site:sample$Season1,5,2.02528472236463,0.0287418832079416,1.50998983803737,0.0028997100289971,2.9,97.1,Fungi
sample$Compartment:sample$genotypecluster:sample$Season1,5,1.1382928306391,0.0161541136578898,0.848676034532579,0.875912408759124,1.6,98.4,Fungi
sample$Site:sample$genotypecluster:sample$Season1,5,1.76633087910538,0.0250669326999877,1.31692183751167,0.0252974702529747,2.5,97.5,Fungi
sample$Compartment:sample$Site:sample$genotypecluster:sample$Season1,4,0.877123961897787,0.0124477285555776,0.817445724136488,0.897010298970103,1.2,98.8,Fungi
Residual1,118,31.6536696100748,0.449213912981733,NA,NA,44.9,55.1,Fungi
Total1,193,70.4645797810852,1,NA,NA,100,0,Fungi
sample$Compartment2,1,8.90321061166564,0.14902000775609,36.455160730781,9.99900009999e-05,14.9,85.1,otherEukaryotes
sample$Site2,5,6.5107233533408,0.108975075052289,5.33177247337485,9.99900009999e-05,10.9,89.1,otherEukaryotes
sample$genotypecluster2,5,1.6731322745224,0.0280045250417417,1.37016428459307,0.0595940405959404,2.8,97.2,otherEukaryotes
sample$Season2,1,1.03615193654747,0.0173428863311933,4.24263639667864,0.0004999500049995,1.7,98.3,otherEukaryotes
sample$Compartment:sample$Site2,5,3.44139704933674,0.0576013572353312,2.81823463566331,9.99900009999e-05,5.8,94.2,otherEukaryotes
sample$Compartment:sample$genotypecluster2,5,1.54642108452418,0.0258836606322694,1.26639774465025,0.119088091190881,2.6,97.4,otherEukaryotes
sample$Site:sample$genotypecluster2,12,3.71696350458705,0.0622137287819408,1.2682924911438,0.0273972602739726,6.2,93.8,otherEukaryotes
sample$Compartment:sample$Season2,1,0.394549172627745,0.00660387845796962,1.61552434640768,0.0968903109689031,0.7,99.3,otherEukaryotes
sample$Site:sample$Season2,5,1.83721768373481,0.0307509510244605,1.50453738273312,0.0206979302069793,3.1,96.9,otherEukaryotes
sample$genotypecluster:sample$Season2,5,1.39109198423222,0.0232837958486682,1.13919537767734,0.224077592240776,2.3,97.7,otherEukaryotes
sample$Compartment:sample$Site:sample$genotypecluster2,6,1.49218885914572,0.0249759334090205,1.01832149984115,0.42005799420058,2.5,97.5,otherEukaryotes
sample$Compartment:sample$Site:sample$Season2,4,1.2666549932994,0.0212009964897879,1.29661403580279,0.107389261073893,2.1,97.9,otherEukaryotes
sample$Compartment:sample$genotypecluster:sample$Season2,3,0.560565971055297,0.00938263161437581,0.765099373187581,0.810718928107189,0.9,99.1,otherEukaryotes
sample$Site:sample$genotypecluster:sample$Season2,5,1.32245058852251,0.0221348910583393,1.08298345093478,0.312968703129687,2.2,97.8,otherEukaryotes
sample$Compartment:sample$Site:sample$genotypecluster:sample$Season2,2,0.229989650754156,0.00384951688038218,0.470858775017251,0.991900809919008,0.4,99.6,otherEukaryotes
Residual2,100,24.422360053259,0.408776164386142,NA,NA,40.9,59.1,otherEukaryotes
Total2,165,59.7450687711551,1,NA,NA,100,0,otherEukaryotes
